hotel_name,hotel_url,overall_rating,extraction_timestamp,room_category,room_price,reviewer_info,room_type_reviewed,review_rating,review_date,review_comment
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,34,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,38,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,51,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,34,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,38,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,51,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,34,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,38,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,51,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,34,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,38,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,51,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,34,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,38,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,38,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,42,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,55,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,41,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,45,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,58,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,41,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,45,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,46,,,,,
Central Heritage Resort & Spa (Formerly Fortune ITC Resort)  - The Mall Road,"https://www.agoda.com/en-in/central-heritage-resort-spa-darjeeling/hotel/darjeeling-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=1922885&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-12&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tag=6f147157-60b8-459f-af1a-9935d44970e9&tspTypes=7,9,8&los=1&searchrequestid=4d242625-a9b0-4b42-bafd-b3949b811e8a","Property's review score 6.9 out of 10 Good 1,415 reviews6.9Good1,415 reviews1,415 reviews",2025-07-18T16:41:44.946183,,50,,,,,
